Chữ Hán,Phiên âm,Nghĩa tiếng Việt,Luyện tập viết
男孩儿,nánháir,bạn bé,
男朋友,nánpéngyǒu,bạn trai,
男人,nánrén,"con trai, đàn ông",
男生,nánshēng,"nam sinh, học sinh nam",
南,nán,nam,
南边,nánbian,phía nam,
难,nán,khó,
呢,ne,"đâu, thế, nhỉ, vậy...",
能,néng,có thể,
你,nǐ,"anh, chị, bạn, ...",
你们,nǐmen,"các anh, các chị, các bạn",
年,nián,năm,
牛奶,niúnǎi,sữa bò,
女,nǚ,nữ (giới tính nữ),
女儿,nǚ'ér,con gái,
女孩儿,nǚháir,cô bé,
女朋友,nǚpéngyǒu,bạn gái,
女人,nǚrén,"con gái, phụ nữ",
女生,nǚshēng,"nữ sinh, học sinh nữ",
旁边,pángbiān,bên cạnh,
跑,pǎo,chạy,
朋友,péngyǒu,"bạn, bạn bè",
票,piào,"vé, phiếu",
七,qī,số 7,
起,qǐ,dậy,
起床,qǐ//chuáng,"thức dậy, ngủ dậy",
起来,qǐ//·lái,"ngồi dậy, đứng đậy, thức dậy",
汽车,qìchē,"ôtô, xe hơi",
前,qián,trước,
前边,qiánbian,phía trước,
前天,qiántiān,"hôm kia, hôm trước",
钱,qián,tiền,
钱包,qiánbāo,ví tiền,
请,qǐng,mời,
请假,qǐng//jià,xin nghỉ phép,
请进,qǐng jìn,mời vào,
请问,qǐngwèn,xin hỏi,
请坐,qǐng zuò,mời ngồi,
球,qiú,quả bóng,
去,qù,đi,
去年,qùnián,"năm ngoái, năm vừa rồi",
热,rè,nóng,
人,rén,người,
认识,rènshi,"biết, quen",
认真,rènzhēn,"nghiêm túc, chăm chỉ",
日,rì,ngày,
日期,rìqī,ngày (xác định),
肉,ròu,thịt,
三,sān,số 3,
山,shān,núi,
商场,shāngchǎng,trung tâm thương mại,
商店,shāngdiàn,"tiệm tạp hóa, cửa hàng",
上,shàng,trên,
上班,shàng//bān,đi làm,
上边,shàngbiān,bên trên,
上车,shàngchē,lên xe,
上次,shàngcì,lần trước,
上课,shàngkè,"vào lớp, đi học",
上网,shàngwǎng,lên mạng,
上午,shàngwǔ,buổi sáng,
上学,shàngxué,(đang) đi học,
少,shǎo,"ít, thiếu",
谁,shéi,ai,
身上,shēnshang,trên người,
身体,shēntǐ,"cơ thể, sức khỏe",
什么,shénme,cái gì,
生病,shēngbìng,"đổ bệnh, bị ốm",
生气,shēngqì,tức giận,
生日,shēngrì,ngày sinh nhật,
十,shí,số 10,
时候,shíhòu,"thời gian, lúc",
时间,shíjiān,thời gian,
事,shì,"chuyện, việc",
试,shì,thử,
是,shì,thì. là,
是不是,shìbùshì,có phải hay không,
手,shǒu,tay,
手机,shǒujī,điện thoại di động,
书,shū,sách,
书包,shūbāo,cặp sách,
书店,shūdiàn,"cửa hàng sách, tiệm sách",
树,shù,cây,
水,shuǐ,nước,
水果,shuǐguǒ,nước hoa quả. nước ép,
睡,shuì,ngủ,
睡觉,shuìjiào,ngủ,
说,shuō,nói,
说话,shuōhuà,"nói, trò chuyện",
四,sì,số 4,
送,sòng,"tặng, đưa cho",
岁,suì,tuổi,
他们,tāmen,"các anh ấy, bọn họ (nam)",
她,tā,"cô ấy, bà ấy (ngôi 3 chỉ nữ)",
她们,tāmen,các cô ấy,
太,tài,quá,
天,tiān,trời,
天气,tiānqì,thời tiết,
听,tīng,nghe,
听到,tīngdào,nghe thấy,
听见,tīngjiàn,nghe thấy,
听写,tīngxiě,nghe viết,
同学,tóngxué,bạn học,
图书馆,túshūguǎn,thư viện,
外,wài,ngoài,
外边,wàibiān,bên ngoài,
外国,wàiguó,nước ngoài,
外语,wàiyǔ,"tiếng nước ngoài, ngoại ngữ",
玩儿,wánr,chơi,
晚,wǎn,"buổi tối, muộn",
晚饭,wǎnfàn,"cơm tối, bữa tối",
晚上,wǎnshang,buổi tối,
网上,wǎng shang,trên mạng,
网友,wǎngyǒu,bạn trên mạng,
忘,wàng,quên,
忘记,wàngjì,"quên, quên mất",
问,wèn,hỏi,
我,wǒ,"tôi, tớ, bạn (ngôi thứ nhất)",
我们,wǒmen,chúng ta (nhiều người),
五,wǔ,số 5,
午饭,wǔfàn,bữa trưa,
西,xī,tây,
西边,xībian,phía tây,
洗,xǐ,rửa,
洗手间,xǐshǒujiān,nhà vệ sinh,
喜欢,xǐhuān,"thích, được yêu thích",
下（名、动,xià,xuống dưới bên dưới,
下班,xià//bān,tan làm,
下边,xiàbian,bên dưới,
下车,xià chē,xuống xe,
下次,xià cì,"lần kế tiếp, lần sau",
下课,xià//kè,tan học,
下午,xiàwǔ,buổi chiều,
下雨,xià yǔ,đổ mưa,
先,xiān,trước,
先生,xiānsheng,quý ông (gọi tôn kính),
现在,xiànzài,"hiện tại, bây giờ",
想,xiǎng,"muốn, suy nghĩ",
小,xiǎo,"nhỏ, bé",
小孩儿,xiǎoháir,trẻ em,
小姐,xiǎojiě,"tiểu thư, cô, em",
小朋友,xiǎopéngyǒu,"trẻ em, bạn nhỏ",
小时,xiǎoshí,"tiếng, giờ đồng hồ",
小学,xiǎoxué,bậc tiểu học,
小学生,xiǎoxuéshēng,học sinh tiểu học,
笑,xiào,cười,
写,xiě,viết,
谢谢,xièxie,cảm ơn,
新,xīn,mới,
新年,xīnnián,năm mới,
星期,xīngqī,"tuần, thứ",
星期日,xīngqīrì,chủ nhật,
星期天,xīngqītiān,chủ nhật,
行,xíng,"được, ổn",
休息,xiūxi,nghỉ ngơi,
学,xué,học,
学生,xué·shēng,"học sinh, sinh viên",
学习,xuéxí,học tập,
学校,xuéxiào,trường học,
学院,xuéyuàn,học viện,
要（动）,yào,"muốn, cần, phải",
爷爷,yéye,"ông nội, ông",
也,yě,cũng,
页,yè,trang,
一,yī,số 1,
衣服,yīfu,quần áo,
医生,yīshēng,bác sĩ,
医院,yīyuàn,bệnh viện,
一半,yíbàn,một nửa,
一会儿,yíhuìr,"một chốc, một lát",
一块儿,yíkuàir,"cùng nơi, cùng chỗ, cùng nhau",
一下儿,yíxiàr,"một lát, một lúc",
一样,yíyàng,"giống nhau, như nhau",
一边,yìbiān,"một bên, một mặt",
一点儿,yìdiǎnr,một chút,
一起,yìqǐ,cùng,
一些,yìxiē,"một ít, một chút",
用,yòng,"dùng, sử dụng",
有,yǒu,có,
有的,yǒude,có,
有名,yǒu//míng,nổi tiếng,
有时候｜有时,yǒushíhou｜y,có lúc,
有（一）些,yǒu（yì）xiē,có một tí,
有用,yǒuyòng,"có ích, có tác dụng",
右,yòu,bên phải,
右边,yòubian,phía bên phải,
雨,yǔ,mưa,
元,yuán,đồng (đơn vị tiền tệ),
远,yuǎn,xa,
月,yuè,"mặt trăng, tháng",
再,zài,lại,
再见,zàijiàn,hẹn gặp lại/ Tạm biệt,
在,zài,"đang, ở tại",
在家,zàijiā,ở nhà,
早,zǎo,sớm,
早饭,zǎofàn,bữa sáng,
早上,zǎoshàng,buổi sáng,
怎么,zěnme,"làm sao, thế nào",
站（名）,zhàn,"bến, trạm",
找,zhǎo,tìm,
找到,zhǎodào,tìm thấy,
这,zhè,"này, đây",
这边,zhèbiān,bên này,
这里,zhè·lǐ,nơi đây,
这儿,zhèr,đây,
这些,zhèxiē,những cái này,
着,zhe,,
真,zhēn,thật là,
真的,zhēnde,Thật ư? Thật đó!,
正（副）,zhèng,"khéo, chính,...",
正在,zhèngzài,đang,
知道,zhī·dào,biết,
知识,zhīshì,kiến thức,
中,zhōng,giữa,
中国,Zhōngguó,nước Trung Quốc,
中间,zhōngjiān,giữa,
中文,Zhōngwén,(văn tự) Tiếng Trung,
中午,zhōngwǔ,buổi trưa,
中学,zhōngxué,cấp Trung học,
中学生,zhōngxuéshēn,học sinh Trung học,
重,zhòng,nặng,
重要,zhòngyào,quan trọng,
住,zhù,ở tại,
准备,zhǔnbèi,chuẩn bị,
桌子,zhuōzi,cái bàn,
字,zì,"chữ, chữ viết, văn tự",
子（桌子）,zi（zhuōzi）,cái,
走,zǒu,đi,
走路,zǒu//lù,"đi đường, đi bộ",
最,zuì,"nhất, số một",
最好,zuìhǎo,tốt nhất,
最后,zuìhòu,"cuối cùng, sau cùng",
昨天,zuótiān,hôm qua,
左,zuǒ,bên trái,
左边,zuǒbiān,bên trái,
坐,zuò,ngồi,
坐下,zuòxià,ngồi xuống,
做,zuò,làm,
